nohup: ignoring input
 * Serving Flask app 'test' (lazy loading)
 * Environment: production
   WARNING: This is a development server. Do not use it in a production deployment.
   Use a production WSGI server instead.
 * Debug mode: off
 * Running on all addresses.
   WARNING: This is a development server. Do not use it in a production deployment.
 * Running on http://10.0.0.179:5000/ (Press CTRL+C to quit)
127.0.0.1 - - [16/May/2022 21:04:04] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [16/May/2022 21:04:05] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [16/May/2022 21:28:41] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [16/May/2022 21:28:42] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [16/May/2022 21:28:59] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [16/May/2022 21:29:00] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [16/May/2022 21:29:48] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [16/May/2022 21:29:49] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [16/May/2022 21:31:35] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [16/May/2022 21:31:36] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [16/May/2022 21:37:39] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [16/May/2022 21:37:40] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [16/May/2022 21:45:48] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [16/May/2022 21:45:49] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [16/May/2022 21:47:04] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [16/May/2022 21:47:05] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [16/May/2022 21:49:11] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [16/May/2022 21:49:12] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [16/May/2022 21:55:51] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [16/May/2022 21:55:52] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [16/May/2022 21:57:31] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [16/May/2022 21:57:32] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [16/May/2022 21:59:48] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [16/May/2022 21:59:50] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [16/May/2022 22:01:31] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [16/May/2022 22:01:31] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [16/May/2022 22:01:55] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [16/May/2022 22:01:56] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [16/May/2022 22:02:12] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [16/May/2022 22:02:12] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [16/May/2022 22:02:47] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [16/May/2022 22:02:48] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [16/May/2022 22:02:59] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [16/May/2022 22:03:00] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [16/May/2022 22:03:02] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [16/May/2022 22:03:03] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [16/May/2022 22:05:22] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [16/May/2022 22:05:23] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [16/May/2022 22:07:25] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [16/May/2022 22:07:25] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [16/May/2022 22:13:15] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [16/May/2022 22:13:15] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [16/May/2022 23:16:50] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [16/May/2022 23:16:51] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [17/May/2022 14:33:16] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [17/May/2022 14:33:17] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [17/May/2022 14:35:57] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [17/May/2022 14:35:58] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [17/May/2022 16:13:13] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [17/May/2022 16:13:14] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [17/May/2022 16:16:34] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [17/May/2022 16:16:36] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [17/May/2022 16:31:27] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [17/May/2022 16:31:28] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [17/May/2022 16:32:55] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [17/May/2022 16:32:56] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [17/May/2022 16:40:21] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [17/May/2022 16:40:22] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [17/May/2022 17:32:33] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [17/May/2022 17:32:34] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [17/May/2022 17:48:22] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [17/May/2022 17:48:24] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [17/May/2022 17:52:59] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [17/May/2022 17:53:01] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [18/May/2022 04:14:28] "GET /robots.txt HTTP/1.0" 404 -
127.0.0.1 - - [18/May/2022 04:14:33] "GET /magento_version HTTP/1.0" 404 -
127.0.0.1 - - [18/May/2022 04:14:57] "GET / HTTP/1.0" 404 -
127.0.0.1 - - [18/May/2022 12:55:45] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [18/May/2022 12:55:46] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [18/May/2022 12:59:20] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [18/May/2022 12:59:21] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [18/May/2022 12:59:50] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [18/May/2022 12:59:51] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [18/May/2022 14:06:43] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [18/May/2022 14:06:44] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [18/May/2022 14:07:12] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [18/May/2022 14:07:13] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [18/May/2022 14:13:43] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [18/May/2022 14:13:44] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [18/May/2022 14:13:48] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [18/May/2022 14:13:49] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [18/May/2022 14:28:03] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [18/May/2022 14:28:03] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [18/May/2022 14:29:06] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [18/May/2022 14:29:07] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [18/May/2022 14:32:36] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [18/May/2022 14:32:37] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [18/May/2022 14:36:11] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [18/May/2022 14:36:11] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [18/May/2022 14:36:21] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [18/May/2022 14:36:23] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [18/May/2022 15:19:35] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [18/May/2022 15:19:36] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [18/May/2022 15:21:27] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [18/May/2022 15:21:28] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [18/May/2022 16:51:58] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [18/May/2022 16:51:59] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [18/May/2022 17:37:08] "GET / HTTP/1.0" 404 -
127.0.0.1 - - [18/May/2022 17:58:28] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [18/May/2022 17:58:29] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [18/May/2022 19:04:46] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [18/May/2022 19:04:47] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [18/May/2022 20:21:42] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [18/May/2022 20:21:43] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [18/May/2022 20:25:25] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [18/May/2022 20:25:26] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [18/May/2022 20:25:52] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [18/May/2022 20:25:53] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [18/May/2022 20:26:08] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [18/May/2022 20:26:10] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [18/May/2022 20:35:18] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [18/May/2022 20:35:19] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [18/May/2022 20:39:33] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [18/May/2022 20:39:34] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [18/May/2022 21:37:55] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [18/May/2022 21:37:56] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [18/May/2022 21:38:40] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [18/May/2022 21:38:41] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [18/May/2022 21:38:46] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [18/May/2022 21:38:47] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [18/May/2022 21:39:38] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [18/May/2022 21:39:39] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [18/May/2022 21:41:26] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [18/May/2022 21:41:27] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [18/May/2022 22:06:35] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [18/May/2022 22:06:36] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [19/May/2022 04:42:53] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [19/May/2022 04:42:54] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [19/May/2022 04:43:22] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [19/May/2022 04:43:23] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [19/May/2022 12:08:41] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [19/May/2022 12:08:42] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [19/May/2022 13:51:35] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [19/May/2022 13:51:36] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [19/May/2022 13:51:46] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [19/May/2022 13:51:47] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [19/May/2022 14:45:40] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [19/May/2022 14:45:41] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [19/May/2022 15:33:56] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [19/May/2022 15:33:57] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [19/May/2022 15:56:51] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [19/May/2022 15:56:52] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [19/May/2022 16:09:35] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [19/May/2022 16:09:36] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [19/May/2022 16:13:10] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [19/May/2022 16:13:11] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [19/May/2022 16:17:50] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [19/May/2022 16:17:51] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [19/May/2022 16:21:21] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [19/May/2022 16:21:22] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [19/May/2022 16:21:25] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [19/May/2022 16:21:26] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [19/May/2022 16:28:01] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [19/May/2022 16:28:02] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [19/May/2022 16:30:54] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [19/May/2022 16:30:55] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [19/May/2022 16:31:40] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [19/May/2022 16:31:40] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [19/May/2022 16:32:49] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [19/May/2022 16:32:50] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [19/May/2022 16:34:45] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [19/May/2022 16:34:46] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [19/May/2022 16:36:39] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [19/May/2022 16:36:40] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [19/May/2022 16:37:58] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [19/May/2022 16:37:59] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [19/May/2022 16:39:35] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [19/May/2022 16:39:36] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [19/May/2022 16:44:52] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [19/May/2022 16:44:53] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [19/May/2022 16:46:06] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [19/May/2022 16:46:07] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [19/May/2022 16:48:58] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [19/May/2022 16:49:00] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [19/May/2022 16:51:21] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [19/May/2022 16:51:22] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [19/May/2022 17:34:09] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [19/May/2022 17:34:10] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [19/May/2022 17:38:50] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [19/May/2022 17:38:51] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [19/May/2022 19:17:05] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [19/May/2022 19:17:05] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [19/May/2022 19:17:05] "GET /favicon.ico HTTP/1.0" 404 -
127.0.0.1 - - [19/May/2022 19:17:05] "GET /favicon.ico HTTP/1.0" 404 -
127.0.0.1 - - [19/May/2022 19:17:06] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [19/May/2022 19:17:06] "GET /favicon.ico HTTP/1.0" 404 -
127.0.0.1 - - [19/May/2022 19:17:07] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [19/May/2022 19:17:07] "GET /favicon.ico HTTP/1.0" 404 -
127.0.0.1 - - [19/May/2022 19:33:49] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [19/May/2022 19:33:50] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [19/May/2022 19:58:49] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [19/May/2022 19:58:50] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [19/May/2022 20:18:35] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [19/May/2022 20:18:36] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [19/May/2022 20:27:25] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [19/May/2022 20:27:25] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [19/May/2022 21:02:19] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [19/May/2022 21:02:20] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [19/May/2022 21:09:48] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [19/May/2022 21:09:49] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [19/May/2022 21:10:21] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [19/May/2022 21:10:22] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [19/May/2022 21:20:59] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [19/May/2022 21:21:00] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [19/May/2022 21:23:08] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [19/May/2022 21:23:09] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [19/May/2022 21:23:13] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [19/May/2022 21:23:14] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [20/May/2022 12:44:49] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [20/May/2022 12:44:50] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [20/May/2022 13:47:28] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [20/May/2022 13:47:29] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [20/May/2022 13:47:45] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [20/May/2022 13:47:46] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [20/May/2022 13:59:25] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [20/May/2022 13:59:26] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [20/May/2022 14:05:46] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [20/May/2022 14:05:47] "GET /favicon.ico HTTP/1.0" 404 -
127.0.0.1 - - [20/May/2022 14:06:07] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [20/May/2022 14:06:07] "GET /favicon.ico HTTP/1.0" 404 -
127.0.0.1 - - [20/May/2022 14:27:07] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [20/May/2022 14:31:41] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [20/May/2022 14:32:04] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [20/May/2022 14:33:10] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [20/May/2022 14:47:40] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [20/May/2022 14:49:34] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [20/May/2022 14:50:29] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [20/May/2022 14:50:56] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [20/May/2022 14:51:08] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [20/May/2022 14:51:17] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [20/May/2022 14:51:26] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [20/May/2022 14:51:33] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [20/May/2022 14:56:04] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [20/May/2022 14:56:32] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [20/May/2022 14:57:06] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [20/May/2022 14:57:11] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [20/May/2022 14:57:23] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [20/May/2022 14:58:03] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [20/May/2022 14:58:24] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [20/May/2022 14:58:27] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [20/May/2022 15:00:55] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [20/May/2022 15:01:01] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [20/May/2022 15:01:07] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [20/May/2022 15:01:29] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [20/May/2022 15:01:35] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [20/May/2022 15:01:40] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [20/May/2022 15:01:43] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [20/May/2022 15:02:03] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [20/May/2022 15:02:23] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [20/May/2022 15:02:43] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [20/May/2022 15:04:34] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [20/May/2022 15:04:54] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [20/May/2022 15:04:59] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [20/May/2022 15:05:39] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [20/May/2022 15:07:27] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [20/May/2022 15:07:47] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [20/May/2022 15:08:02] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [20/May/2022 15:08:31] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [20/May/2022 15:08:52] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [20/May/2022 15:09:49] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [20/May/2022 15:10:53] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [20/May/2022 15:11:18] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [20/May/2022 15:11:42] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [20/May/2022 15:11:57] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [20/May/2022 15:12:29] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [20/May/2022 15:12:41] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [20/May/2022 15:14:13] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [20/May/2022 15:14:52] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [20/May/2022 15:15:00] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [20/May/2022 15:15:14] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [20/May/2022 15:15:34] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [20/May/2022 15:16:21] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [20/May/2022 15:16:27] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [20/May/2022 15:17:05] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [20/May/2022 15:17:13] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [20/May/2022 15:19:11] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [20/May/2022 15:19:33] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [20/May/2022 15:19:48] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [20/May/2022 15:19:57] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [20/May/2022 15:20:14] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [20/May/2022 15:20:30] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [20/May/2022 15:20:41] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [20/May/2022 15:20:43] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [20/May/2022 15:21:33] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [20/May/2022 15:21:54] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [20/May/2022 15:22:29] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [20/May/2022 15:22:52] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [20/May/2022 15:23:02] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [20/May/2022 15:23:27] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [20/May/2022 15:24:31] "GET /cocoa-contracts HTTP/1.0" 200 -
